# HOMER Peaks
# Peak finding parameters:
# tag directory = /home/jkissinger/lab5/tagdirs/Klf4
#
# total peaks = 3020
# peak size = 75
# peaks found using tags on both strands
# minimum distance between peaks = 150
# fragment length = 74
# genome size = 2000000000
# Total tags = 1720172.0
# Total tags in peaks = 53736.0
# Approximate IP efficiency = 3.12%
# tags per bp = 0.000798
# expected tags per peak = 0.060
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 5.086211e-07
# FDR tag threshold = 4.0
# number of putative peaks = 93354
#
# input tag directory = /home/jkissinger/lab5/tagdirs/input
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 83515
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 6819
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks /home/jkissinger/lab5/tagdirs/Klf4 -i /home/jkissinger/lab5/tagdirs/input -style factor -o auto
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
17-16	17	35916928	35917002	+	953.4	0.578	73.000000	167.0	4.0	41.78	3.93e-202	17.10	4.55e-134	0.90
17-10	17	36973463	36973537	+	842.9	0.763	77.000000	145.0	6.0	24.18	1.99e-142	23.87	1.24e-141	0.83
17-20	17	57060668	57060742	+	842.9	0.700	64.000000	147.0	3.0	49.03	3.67e-188	23.24	4.49e-139	1.01
17-24	17	35504026	35504100	+	831.3	0.672	58.000000	144.0	8.0	18.01	6.50e-124	15.49	3.05e-114	1.09
17-26	17	45459121	45459195	+	790.6	0.718	57.000000	138.0	5.0	27.62	2.66e-143	17.41	2.03e-114	1.09
17-22	17	57265117	57265191	+	761.6	0.744	62.000000	131.0	4.0	32.77	1.52e-145	34.56	3.09e-146	0.98
17-21	17	83808182	83808256	+	744.1	0.687	63.000000	128.0	5.0	25.62	4.93e-129	25.03	7.76e-125	0.97
17-23	17	87973887	87973961	+	674.4	0.570	62.000000	116.0	8.0	14.51	5.67e-90	14.75	1.13e-87	0.92
17-28	17	85163102	85163176	+	656.9	0.632	57.000000	116.0	0.5	232.15	2.00e-226	27.90	3.59e-118	1.01
17-31	17	45530608	45530682	+	627.8	0.561	54.000000	110.0	3.0	36.69	9.15e-128	24.89	6.92e-107	1.04
17-30	17	87571775	87571849	+	563.9	0.661	55.000000	97.0	5.0	19.41	4.39e-87	21.91	6.28e-92	0.95
17-27	17	56833584	56833658	+	546.5	0.746	57.000000	94.0	5.0	18.81	3.12e-83	16.79	3.23e-77	0.93
17-29	17	46812509	46812583	+	534.8	0.678	56.000000	93.0	6.0	15.51	5.05e-75	13.29	1.71e-68	0.93
17-33	17	36995629	36995703	+	505.8	0.701	53.000000	87.0	2.0	43.53	9.62e-108	15.98	9.32e-70	0.94
17-38	17	46793174	46793248	+	500.0	0.725	50.000000	86.0	2.0	43.03	4.19e-106	18.38	1.25e-74	1.01
17-54	17	89934138	89934212	+	488.3	0.663	46.000000	84.0	6.0	14.01	1.77e-64	50.62	3.37e-108	1.07
17-32	17	17739476	17739550	+	482.5	0.712	53.000000	83.0	5.0	16.61	1.78e-69	20.53	1.06e-76	0.96
17-34	17	31851941	31852015	+	476.7	0.611	51.000000	82.0	3.0	27.35	1.37e-85	18.20	7.11e-71	0.97
17-37	17	28080666	28080740	+	470.9	0.722	50.000000	82.0	4.0	20.51	9.00e-76	16.57	9.29e-68	0.97
17-55	17	32281271	32281345	+	465.1	0.581	45.000000	80.0	4.0	20.01	3.75e-73	17.48	7.22e-68	1.09
17-45	17	35578367	35578441	+	453.4	0.738	47.000000	78.0	3.0	26.02	7.15e-80	23.00	6.42e-75	1.00
17-41	17	43077230	43077304	+	453.4	0.765	49.000000	78.0	3.0	26.02	7.15e-80	28.83	3.15e-83	0.97
