# HOMER Peaks
# Peak finding parameters:
# tag directory = /home/jkissinger/lab5/tagdirs/Sox2
#
# total peaks = 2236
# peak size = 75
# peaks found using tags on both strands
# minimum distance between peaks = 150
# fragment length = 74
# genome size = 2000000000
# Total tags = 1717745.0
# Total tags in peaks = 47099.0
# Approximate IP efficiency = 2.74%
# tags per bp = 0.000826
# expected tags per peak = 0.062
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 5.834966e-07
# FDR tag threshold = 4.0
# number of putative peaks = 101193
#
# input tag directory = /home/jkissinger/lab5/tagdirs/input
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 93712
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 5245
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks /home/jkissinger/lab5/tagdirs/Sox2 -i /home/jkissinger/lab5/tagdirs/input -style factor -o auto
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
17-16	17	35504041	35504115	+	1991.0	0.834	77.000000	342.0	8.0	42.84	0.00e+00	35.43	0.00e+00	0.97
17-12	17	15208248	15208322	+	1734.8	0.705	79.000000	298.0	2.0	149.31	0.00e+00	61.28	0.00e+00	0.94
17-13	17	37079108	37079182	+	1653.3	0.658	78.000000	287.0	8.0	35.95	0.00e+00	41.01	0.00e+00	0.95
17-29	17	29187360	29187434	+	1449.6	0.764	71.000000	249.0	6.0	41.59	6.85e-300	52.63	1.22e-319	1.04
17-18	17	48616395	48616469	+	1432.1	0.708	76.000000	251.0	1.0	251.52	0.00e+00	50.17	2.87e-308	0.95
17-28	17	80635940	80636014	+	1403.0	0.622	72.000000	241.0	4.0	60.37	0.00e+00	46.04	3.02e-298	1.01
17-20	17	53561837	53561911	+	1333.1	0.821	74.000000	234.0	5.0	46.90	6.86e-294	23.56	1.65e-216	0.98
17-26	17	37990728	37990802	+	1234.2	0.670	72.000000	213.0	2.0	106.72	0.00e+00	41.92	5.99e-254	0.99
17-21	17	23601386	23601460	+	1164.3	0.715	73.000000	205.0	4.0	51.36	1.20e-265	25.36	1.08e-197	0.96
17-25	17	66479845	66479919	+	1100.3	0.678	73.000000	190.0	9.0	21.15	1.86e-175	22.04	5.09e-174	0.96
17-24	17	50427845	50427919	+	1094.5	0.788	73.000000	188.0	2.0	94.19	1.36e-292	46.63	2.47e-232	0.94
17-31	17	82306540	82306614	+	1094.5	0.759	70.000000	193.0	4.0	48.35	2.91e-245	46.15	1.47e-226	1.00
17-32	17	84351474	84351548	+	1082.8	0.705	70.000000	188.0	3.0	62.80	6.41e-260	32.69	1.29e-205	0.99
17-34	17	63176616	63176690	+	1071.2	0.875	68.000000	184.0	4.0	46.09	3.49e-230	57.56	1.35e-247	1.01
17-33	17	15380806	15380880	+	1036.2	0.689	68.000000	178.0	6.0	29.73	9.36e-190	26.44	5.38e-179	1.00
