# HOMER Peaks
# Peak finding parameters:
# tag directory = HCT116-treated
#
# total peaks = 8958
# peak size = 217
# peaks found using tags on both strands
# minimum distance between peaks = 434
# fragment length = 206
# genome size = 2000000000
# Total tags = 44527481.0
# Total tags in peaks = 955564.0
# Approximate IP efficiency = 2.15%
# tags per bp = 0.022107
# expected tags per peak = 4.797
# maximum tags considered per bp = 2.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 7.719535e-07
# FDR tag threshold = 19.0
# number of putative peaks = 17043
#
# input tag directory = HCT116-input
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 6934
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 1147
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 4
#
# cmd = findPeaks HCT116-treated -i HCT116-input -style factor -o auto
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags (normalized to Control Experiment)	Control Tags	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr10-1	chr10	129661524	129661740	+	797.0	0.897	847.000000	2470.2	5.0	494.05	0.00e+00	107.92	0.00e+00	0.51
chr10-2	chr10	129738077	129738293	+	782.2	0.854	846.000000	2424.4	4.0	606.09	0.00e+00	97.25	0.00e+00	0.51
chr1-2	chr1	244898812	244899028	+	687.9	0.913	849.000000	2136.1	3.0	712.03	0.00e+00	142.65	0.00e+00	0.50
chr6-1	chr6	36644124	36644340	+	673.5	0.918	857.000000	2086.8	6.0	347.80	0.00e+00	73.28	0.00e+00	0.50
chr10-3	chr10	45933891	45934107	+	670.4	0.930	845.000000	2075.0	3.0	691.65	0.00e+00	139.13	0.00e+00	0.50
chr17-1	chr17	67603413	67603629	+	660.9	0.936	851.000000	2050.0	6.0	341.66	0.00e+00	143.26	0.00e+00	0.50
chr8-3	chr8	124857102	124857318	+	588.8	0.932	826.000000	1825.6	8.0	228.20	0.00e+00	116.70	0.00e+00	0.51
chr6-2	chr6	111428344	111428560	+	580.1	0.894	820.000000	1796.4	5.0	359.28	0.00e+00	109.58	0.00e+00	0.52
chr21-1	chr21	34739581	34739797	+	566.2	0.918	842.000000	1755.4	6.0	292.57	0.00e+00	131.99	0.00e+00	0.50
chr19-1	chr19	42034608	42034824	+	554.5	0.912	831.000000	1716.5	3.0	572.17	0.00e+00	104.74	0.00e+00	0.50
chr8-2	chr8	29628044	29628260	+	553.4	0.953	842.000000	1716.5	14.0	122.61	0.00e+00	181.81	0.00e+00	0.50
chr2-1	chr2	1492866	1493082	+	552.5	0.854	801.000000	1711.7	5.0	342.33	0.00e+00	99.90	0.00e+00	0.53
chr9-1	chr9	118706473	118706689	+	490.7	0.905	822.000000	1520.6	3.0	506.87	0.00e+00	98.26	0.00e+00	0.50
chr5-1	chr5	173755752	173755968	+	476.1	0.911	834.000000	1474.8	4.0	368.69	0.00e+00	102.20	0.00e+00	0.50
chr17-2	chr17	37203029	37203245	+	467.1	0.932	820.000000	1447.0	5.0	289.40	0.00e+00	153.65	0.00e+00	0.51
chr4-1	chr4	84092228	84092444	+	462.0	0.890	800.000000	1429.6	6.0	238.27	0.00e+00	125.14	0.00e+00	0.52
chr6-3	chr6	151178382	151178598	+	444.9	0.928	768.000000	1380.3	8.0	172.54	0.00e+00	127.82	0.00e+00	0.55
chr8-4	chr8	8220392	8220608	+	442.6	0.917	822.000000	1373.4	6.0	228.89	0.00e+00	102.82	0.00e+00	0.50
chr1-4	chr1	144010737	144010953	+	437.3	0.883	804.000000	1356.0	11.0	123.27	0.00e+00	61.91	0.00e+00	0.52
chr2-2	chr2	70824119	70824335	+	409.0	0.858	797.000000	1271.9	5.0	254.39	0.00e+00	68.17	0.00e+00	0.52
chr8-5	chr8	143897147	143897363	+	402.7	0.907	787.000000	1248.3	6.0	208.05	0.00e+00	92.81	0.00e+00	0.52
chr7-1	chr7	121151247	121151463	+	396.8	0.901	793.000000	1233.0	5.0	246.61	0.00e+00	97.10	0.00e+00	0.51
chr12-6	chr12	16089761	16089977	+	384.0	0.902	695.000000	1188.6	2.0	594.29	0.00e+00	122.74	0.00e+00	0.60
chr1-3	chr1	181104178	181104394	+	381.3	0.915	805.000000	1180.2	9.0	131.14	0.00e+00	107.63	0.00e+00	0.49
chr7-2	chr7	151385240	151385456	+	359.3	0.920	771.000000	1114.9	3.0	371.65	0.00e+00	104.89	0.00e+00	0.52
chr15-1	chr15	80295581	80295797	+	349.0	0.889	720.000000	1081.6	6.0	180.27	0.00e+00	105.83	0.00e+00	0.56
chr12-1	chr12	88953555	88953771	+	346.8	0.874	758.000000	1074.0	5.0	214.79	0.00e+00	80.97	0.00e+00	0.53
chr1-6	chr1	214612871	214613087	+	341.4	0.937	740.000000	1057.3	3.0	352.43	0.00e+00	110.88	0.00e+00	0.54
chr8-8	chr8	126201593	126201809	+	340.2	0.893	710.000000	1054.5	7.0	150.64	0.00e+00	64.46	0.00e+00	0.58
chr1-5	chr1	234754223	234754439	+	339.1	0.903	751.000000	1049.6	4.0	262.41	0.00e+00	79.73	0.00e+00	0.53
chr4-2	chr4	77703136	77703352	+	332.8	0.933	737.000000	1033.7	11.0	93.97	0.00e+00	107.40	0.00e+00	0.54
chr12-3	chr12	103917638	103917854	+	332.6	0.906	736.000000	1032.3	2.0	516.14	0.00e+00	101.94	0.00e+00	0.54
chr19-4	chr19	46636731	46636947	+	330.6	0.941	592.000000	1024.6	3.0	341.54	0.00e+00	94.15	0.00e+00	0.69
chr7-4	chr7	40757000	40757216	+	330.1	0.934	722.000000	1023.2	4.0	255.81	0.00e+00	127.19	0.00e+00	0.56
chr12-2	chr12	125423188	125423404	+	321.1	0.890	750.000000	996.1	10.0	99.61	0.00e+00	76.12	0.00e+00	0.53
chr7-3	chr7	123886537	123886753	+	312.4	0.924	733.000000	969.1	11.0	88.10	0.00e+00	116.31	0.00e+00	0.54
chr12-4	chr12	69202633	69202849	+	310.6	0.913	717.000000	962.8	6.0	160.47	0.00e+00	95.34	0.00e+00	0.56
chr17-4	chr17	49031686	49031902	+	310.6	0.912	725.000000	964.2	4.0	241.05	0.00e+00	49.97	0.00e+00	0.54
chr16-3	chr16	25565110	25565326	+	308.8	0.905	684.000000	956.6	3.0	318.85	0.00e+00	104.28	0.00e+00	0.58
chr4-3	chr4	41146895	41147111	+	308.3	0.900	724.000000	956.6	3.0	318.85	0.00e+00	60.88	0.00e+00	0.55
chr17-3	chr17	55601395	55601611	+	306.3	0.871	746.000000	950.3	6.0	158.38	0.00e+00	70.23	0.00e+00	0.53
chr5-2	chr5	57758000	57758216	+	304.5	0.918	733.000000	942.7	5.0	188.53	0.00e+00	93.48	0.00e+00	0.54
chr9-2	chr9	86853714	86853930	+	303.6	0.916	721.000000	942.7	4.0	235.66	0.00e+00	117.04	0.00e+00	0.56
chr17-5	chr17	81027507	81027723	+	300.7	0.925	721.000000	932.9	4.0	233.23	0.00e+00	151.49	0.00e+00	0.55
chr14-1	chr14	32814597	32814813	+	300.0	0.903	726.000000	930.9	3.0	310.28	0.00e+00	84.23	0.00e+00	0.54
chr1-7	chr1	9242111	9242327	+	299.8	0.853	713.000000	931.5	4.0	232.89	0.00e+00	65.10	0.00e+00	0.55
chr2-3	chr2	171078256	171078472	+	298.7	0.893	765.000000	926.0	6.0	154.33	0.00e+00	81.14	0.00e+00	0.51
